41882 	 -65415 	 -61028 	 -61186 	 -61028 	 122 	 3709 	 619 	 -1067
41888 	 -65245 	 -60710 	 -60869 	 -60710 	 151 	 3895 	 646 	 -920
41889 	 -65209 	 -60710 	 -60852 	 -60710 	 162 	 3909 	 657 	 -883
41890 	 -65176 	 -60548 	 -60710 	 -60548 	 165 	 3962 	 660 	 -992
41891 	 -65139 	 -60385 	 -60548 	 -60385 	 173 	 3712 	 668 	 -992
41892 	 -65101 	 -60220 	 -60385 	 -60220 	 187 	 3799 	 681 	 -846
41893 	 -65053 	 -60054 	 -60366 	 -60054 	 182 	 3948 	 676 	 -856
41894 	 -65027 	 -59887 	 -60220 	 -59887 	 194 	 4121 	 688 	 -813
41895 	 -64977 	 -59719 	 -60054 	 -59719 	 194 	 4121 	 688 	 -976
41897 	 -64905 	 -59549 	 -59868 	 -59549 	 191 	 3812 	 685 	 -1113
41899 	 -64872 	 -59206 	 -59549 	 -59206 	 198 	 3978 	 692 	 -1009
41900 	 -64775 	 -59206 	 -59377 	 -59206 	 198 	 4161 	 692 	 -1009
41901 	 -64739 	 -59206 	 -59357 	 -59206 	 196 	 4155 	 690 	 -1097
41902 	 -64706 	 -59031 	 -59206 	 -59031 	 214 	 4038 	 707 	 -1234
41904 	 -64604 	 -58680 	 -58856 	 -58680 	 211 	 3978 	 704 	 -1367
41905 	 -64563 	 -58503 	 -58836 	 -58503 	 208 	 3978 	 827 	 -1146
41906 	 -64563 	 -58323 	 -58503 	 -58323 	 208 	 3978 	 827 	 -1146
41907 	 -64473 	 -58323 	 -58481 	 -58323 	 229 	 4045 	 847 	 -1113
41908 	 -64431 	 -58143 	 -58323 	 -58143 	 232 	 4440 	 850 	 -1503
41909 	 -64370 	 -57778 	 -58143 	 -57778 	 232 	 4361 	 850 	 -1068
41911 	 -64274 	 -57594 	 -57778 	 -57594 	 258 	 4440 	 875 	 -1067
41912 	 -64217 	 -57407 	 -57594 	 -57407 	 246 	 4361 	 864 	 -1188
41913 	 -64179 	 -57221 	 -57407 	 -57221 	 253 	 4440 	 870 	 -1188
41914 	 -64128 	 -57221 	 -57393 	 -57221 	 252 	 4238 	 869 	 -1277
41915 	 -64068 	 -56843 	 -57221 	 -56843 	 278 	 4331 	 894 	 -1126
41916 	 -63993 	 -56651 	 -57033 	 -56651 	 281 	 4474 	 897 	 -1359
41917 	 -63938 	 -56459 	 -56843 	 -56459 	 281 	 4474 	 897 	 -1359
41918 	 -63878 	 -56459 	 -56651 	 -56459 	 293 	 4224 	 909 	 -1359
41919 	 -63827 	 -56265 	 -56459 	 -56265 	 296 	 4244 	 912 	 -1275
41921 	 -63693 	 -55874 	 -56072 	 -55874 	 304 	 4331 	 1017 	 -1691
41922 	 -63628 	 -55677 	 -56055 	 -55677 	 292 	 4440 	 1006 	 -1496
41923 	 -63628 	 -55479 	 -55874 	 -55479 	 292 	 4440 	 1006 	 -1386
41924 	 -63493 	 -55479 	 -55677 	 -55479 	 335 	 4264 	 1047 	 -1386
41925 	 -63426 	 -55278 	 -55479 	 -55278 	 332 	 4427 	 1044 	 -1386
41927 	 -63297 	 -54874 	 -55077 	 -54874 	 355 	 4640 	 1066 	 -1460
41928 	 -63203 	 -54672 	 -55060 	 -54672 	 369 	 4414 	 1080 	 -1726
41929 	 -63203 	 -54466 	 -54672 	 -54466 	 369 	 4414 	 1080 	 -1726
41930 	 -63050 	 -54466 	 -54654 	 -54466 	 373 	 4420 	 1084 	 -1460
41931 	 -62979 	 -54259 	 -54466 	 -54259 	 391 	 4427 	 1101 	 -1749
41932 	 -62907 	 -54052 	 -54259 	 -54052 	 412 	 4297 	 1121 	 -1749
41934 	 -62714 	 -53632 	 -53843 	 -53632 	 435 	 4367 	 1144 	 -1493
41935 	 -62624 	 -53421 	 -53632 	 -53421 	 401 	 4148 	 1111 	 -1493
41936 	 -62569 	 -53209 	 -53421 	 -53209 	 423 	 4071 	 1133 	 -1415
41937 	 -62472 	 -53209 	 -53409 	 -53209 	 436 	 3998 	 1145 	 -1553
41938 	 -62385 	 -52995 	 -53209 	 -52995 	 448 	 4361 	 1157 	 -1553
41940 	 -62172 	 -52564 	 -52780 	 -52564 	 457 	 4128 	 1165 	 -1612
41941 	 -62077 	 -52345 	 -52564 	 -52345 	 462 	 3922 	 1170 	 -1612
41942 	 -62015 	 -52126 	 -52345 	 -52126 	 469 	 4115 	 1177 	 -1440
41943 	 -61910 	 -52126 	 -52333 	 -52126 	 472 	 3752 	 1064 	 -1440
41944 	 -61819 	 -51686 	 -52126 	 -51686 	 487 	 4188 	 1078 	 -1472
41946 	 -61588 	 -51463 	 -51686 	 -51463 	 486 	 3909 	 1077 	 -1472
41947 	 -61494 	 -51239 	 -51463 	 -51239 	 505 	 3842 	 1095 	 -1505
41949 	 -61305 	 -51014 	 -51225 	 -51014 	 510 	 3855 	 1100 	 -1836
41950 	 -61208 	 -51014 	 -51193 	 -51014 	 494 	 3909 	 1085 	 -1516
41954 	 -60767 	 -50559 	 -50787 	 -50559 	 559 	 3855 	 952 	 -1332
41956 	 -60551 	 -50101 	 -50331 	 -50101 	 535 	 3669 	 929 	 -924
41957 	 -60449 	 -50101 	 -50316 	 -50101 	 538 	 3466 	 932 	 -1028
41958 	 -60345 	 -49869 	 -50283 	 -49869 	 528 	 3689 	 922 	 -1126
41959 	 -60239 	 -49638 	 -50101 	 -49638 	 528 	 3689 	 922 	 -1061
41960 	 -60091 	 -49638 	 -49869 	 -49638 	 542 	 3629 	 710 	 -1061
41961 	 -59985 	 -49404 	 -49638 	 -49404 	 534 	 3437 	 702 	 -1061
41963 	 -59792 	 -48934 	 -49169 	 -48934 	 574 	 3506 	 741 	 -1056
41965 	 -59575 	 -48458 	 -48934 	 -48458 	 544 	 3500 	 712 	 -1191
41966 	 -59439 	 -48458 	 -48697 	 -48458 	 546 	 3300 	 714 	 -1191
41967 	 -59331 	 -48458 	 -48681 	 -48458 	 555 	 3417 	 774 	 -1080
41968 	 -59246 	 -48219 	 -48458 	 -48219 	 544 	 3280 	 764 	 -1080
41970 	 -58988 	 -47736 	 -47977 	 -47736 	 584 	 3274 	 802 	 -1519
41971 	 -58876 	 -47492 	 -47967 	 -47492 	 535 	 3041 	 755 	 -1399
41972 	 -58876 	 -47249 	 -47492 	 -47249 	 535 	 3041 	 755 	 -1399
41973 	 -58654 	 -47249 	 -47482 	 -47249 	 574 	 3377 	 793 	 -1399
41974 	 -58558 	 -47003 	 -47249 	 -47003 	 607 	 3300 	 824 	 -1519
41976 	 -58309 	 -46509 	 -46757 	 -46509 	 570 	 3390 	 533 	 -1450
41977 	 -58192 	 -46259 	 -46745 	 -46259 	 571 	 3177 	 534 	 -1844
41978 	 -58113 	 -46009 	 -46509 	 -46009 	 573 	 3287 	 536 	 -1333
41979 	 -57967 	 -46009 	 -46259 	 -46009 	 582 	 3048 	 544 	 -1333
41980 	 -57860 	 -45759 	 -46009 	 -45759 	 544 	 3001 	 508 	 -1333
41982 	 -57604 	 -45252 	 -45506 	 -45252 	 583 	 3041 	 545 	 -1420
41983 	 -57494 	 -44999 	 -45494 	 -44999 	 595 	 3197 	 614 	 -1621
41984 	 -57494 	 -44743 	 -44999 	 -44743 	 595 	 3197 	 614 	 -1621
41985 	 -57252 	 -44743 	 -44986 	 -44743 	 598 	 2981 	 617 	 -1650
41986 	 -57144 	 -44486 	 -44743 	 -44486 	 595 	 3157 	 614 	 -1650
41988 	 -56881 	 -43968 	 -44227 	 -43968 	 614 	 3041 	 632 	 -2219
41989 	 -56758 	 -43709 	 -44215 	 -43709 	 606 	 2775 	 624 	 -2219
41990 	 -56674 	 -43448 	 -43709 	 -43448 	 606 	 2775 	 333 	 -1688
41991 	 -56511 	 -43448 	 -43696 	 -43448 	 617 	 3171 	 344 	 -1688
41992 	 -56404 	 -43184 	 -43448 	 -43184 	 626 	 3177 	 352 	 -1688
41994 	 -56117 	 -42656 	 -42921 	 -42656 	 640 	 3021 	 366 	 -1812
41995 	 -55991 	 -42390 	 -42907 	 -42390 	 652 	 3171 	 377 	 -1688
41996 	 -55991 	 -42124 	 -42390 	 -42124 	 652 	 3171 	 377 	 -1860
41997 	 -55725 	 -42124 	 -42377 	 -42124 	 662 	 3034 	 391 	 -1860
41998 	 -55611 	 -41855 	 -42124 	 -41855 	 668 	 3068 	 397 	 -1860
42000 	 -55315 	 -41317 	 -41587 	 -41317 	 668 	 3403 	 397 	 -1774
42001 	 -55190 	 -41045 	 -41577 	 -41045 	 680 	 3363 	 408 	 -2119
42002 	 -55078 	 -40773 	 -41317 	 -40773 	 680 	 3363 	 408 	 -2119
42003 	 -54905 	 -40773 	 -41045 	 -40773 	 691 	 3214 	 614 	 -2119
42004 	 -54783 	 -40500 	 -40773 	 -40500 	 710 	 3589 	 632 	 -1560
42006 	 -54507 	 -39950 	 -40224 	 -39950 	 736 	 3759 	 657 	 -2012
42007 	 -54308 	 -39673 	 -40215 	 -39673 	 724 	 3423 	 646 	 -2262
42008 	 -54308 	 -39395 	 -39950 	 -39395 	 724 	 3423 	 646 	 -2262
42009 	 -53994 	 -39395 	 -39673 	 -39395 	 764 	 3636 	 739 	 -2262
42010 	 -53867 	 -39116 	 -39395 	 -39116 	 751 	 3313 	 726 	 -2262
42012 	 -53580 	 -38556 	 -38837 	 -38556 	 773 	 3922 	 748 	 -1939
42013 	 -53382 	 -38273 	 -38826 	 -38273 	 789 	 3240 	 763 	 -1974
42015 	 -53066 	 -37992 	 -38273 	 -37992 	 788 	 3327 	 891 	 -1974
42016 	 -52923 	 -37992 	 -38263 	 -37992 	 811 	 3636 	 913 	 -1816
42020 	 -52266 	 -37422 	 -37707 	 -37422 	 853 	 3559 	 766 	 644
42022 	 -51932 	 -36849 	 -37136 	 -36849 	 843 	 3307 	 757 	 -1254
42023 	 -51764 	 -36849 	 -37125 	 -36849 	 842 	 3430 	 756 	 -1254
42024 	 -51604 	 -36561 	 -37099 	 -36561 	 857 	 3300 	 770 	 -1578
42025 	 -51420 	 -36272 	 -36849 	 -36272 	 872 	 3636 	 912 	 -1250
42026 	 -51420 	 -35982 	 -36272 	 -35982 	 872 	 3636 	 912 	 -1250
42027 	 -51056 	 -35982 	 -36261 	 -35982 	 845 	 3041 	 886 	 -1250
42028 	 -50919 	 -35690 	 -35982 	 -35690 	 826 	 3048 	 867 	 -1250
42030 	 -50559 	 -35106 	 -35398 	 -35106 	 844 	 3377 	 829 	 -1778
42031 	 -50409 	 -34812 	 -35387 	 -34812 	 776 	 2968 	 763 	 -1582
42032 	 -50409 	 -34516 	 -34812 	 -34516 	 776 	 2968 	 763 	 -1582
42033 	 -50059 	 -34516 	 -34799 	 -34516 	 835 	 3343 	 820 	 -1582
42034 	 -49919 	 -34220 	 -34516 	 -34220 	 828 	 3330 	 813 	 -1582
42036 	 -49557 	 -33625 	 -33924 	 -33625 	 842 	 3403 	 804 	 -1637
42037 	 -49400 	 -33327 	 -33911 	 -33327 	 843 	 3021 	 805 	 -1761
42038 	 -49400 	 -33026 	 -33327 	 -33026 	 843 	 3021 	 805 	 -1761
42039 	 -48950 	 -33026 	 -33318 	 -33026 	 855 	 2865 	 816 	 -1761
42040 	 -48894 	 -32725 	 -33026 	 -32725 	 854 	 3337 	 815 	 -2091
42041 	 -48758 	 -32423 	 -32725 	 -32423 	 839 	 3669 	 841 	 -2091
42043 	 -48380 	 -31817 	 -32120 	 -31817 	 910 	 3609 	 909 	 -1732
