170058 	 -61890 	 -61870 	 -61870 	 -61870 	 1 	 -84 	 611 	 -280	 14392
170060 	 -61888 	 -61870 	 -61870 	 -61870 	 2 	 -97 	 612 	 -264	 15163
170063 	 -61888 	 -61870 	 -61870 	 -61870 	 1 	 -84 	 611 	 -278	 16191
170065 	 -61890 	 -61870 	 -61870 	 -61870 	 -1 	 -77 	 610 	 -264	 14392
170067 	 -61890 	 -61870 	 -61870 	 -61870 	 1 	 -77 	 611 	 -302	 14392
170069 	 -61888 	 -61870 	 -61870 	 -61870 	 1 	 -77 	 611 	 -272	 13621
170071 	 -61888 	 -61870 	 -61870 	 -61870 	 1 	 -97 	 611 	 -289	 13107
170073 	 -61888 	 -61870 	 -61870 	 -61870 	 0 	 -97 	 611 	 -268	 13107
170075 	 -61888 	 -61870 	 -61870 	 -61870 	 0 	 -97 	 611 	 -284	 14135
170077 	 -61887 	 -61870 	 -61870 	 -61870 	 2 	 -97 	 612 	 -290	 14906
170079 	 -61886 	 -61870 	 -61870 	 -61870 	 3 	 -104 	 613 	 -249	 16191
170081 	 -61886 	 -61870 	 -61870 	 -61870 	 1 	 -117 	 611 	 -246	 16191
170083 	 -61886 	 -61870 	 -61870 	 -61870 	 0 	 -104 	 611 	 -272	 16191
170085 	 -61887 	 -61870 	 -61870 	 -61870 	 -2 	 -110 	 609 	 -273	 15934
170087 	 -61888 	 -61870 	 -61870 	 -61870 	 -2 	 -117 	 609 	 -258	 14649
170089 	 -61890 	 -61870 	 -61870 	 -61870 	 -1 	 -104 	 610 	 -285	 13364
170091 	 -61887 	 -61870 	 -61870 	 -61870 	 2 	 -110 	 612 	 -295	 14906
170093 	 -61887 	 -61870 	 -61870 	 -61870 	 2 	 -104 	 612 	 -270	 14906
170095 	 -61887 	 -61870 	 -61870 	 -61870 	 2 	 -110 	 612 	 -260	 15420
170097 	 -61887 	 -61870 	 -61870 	 -61870 	 0 	 -104 	 611 	 -268	 15420
170099 	 -61887 	 -61870 	 -61870 	 -61870 	 -1 	 -90 	 610 	 -248	 14906
170101 	 -61887 	 -61870 	 -61870 	 -61870 	 0 	 -97 	 611 	 -253	 14906
170103 	 -61887 	 -61870 	 -61870 	 -61870 	 0 	 -97 	 611 	 -248	 14906
170105 	 -61888 	 -61870 	 -61870 	 -61870 	 0 	 -97 	 611 	 -250	 14135
170107 	 -61891 	 -61870 	 -61870 	 -61870 	 -2 	 -84 	 609 	 -273	 11822
170109 	 -61891 	 -61870 	 -61870 	 -61870 	 -2 	 -84 	 609 	 -267	 11308
170111 	 -61890 	 -61870 	 -61870 	 -61870 	 0 	 -77 	 611 	 -276	 12079
170113 	 -61888 	 -61870 	 -61870 	 -61870 	 2 	 -84 	 612 	 -273	 13107
170115 	 -61888 	 -61870 	 -61870 	 -61870 	 2 	 -84 	 612 	 -282	 13621
170117 	 -61888 	 -61870 	 -61870 	 -61870 	 1 	 -90 	 611 	 -278	 14135
170119 	 -61887 	 -61870 	 -61870 	 -61870 	 2 	 -97 	 612 	 -261	 15420
170121 	 -61886 	 -61870 	 -61870 	 -61870 	 1 	 -104 	 611 	 -247	 15163
170123 	 -61887 	 -61870 	 -61870 	 -61870 	 0 	 -97 	 611 	 -273	 14392
170125 	 -61890 	 -61870 	 -61870 	 -61870 	 -1 	 -90 	 610 	 -290	 12593
170127 	 -61888 	 -61870 	 -61870 	 -61870 	 0 	 -104 	 611 	 -270	 13621
170129 	 -61890 	 -61870 	 -61870 	 -61870 	 0 	 -97 	 611 	 -290	 12593
170131 	 -61890 	 -61870 	 -61870 	 -61870 	 0 	 -90 	 611 	 -278	 12593
170133 	 -61890 	 -61870 	 -61870 	 -61870 	 -1 	 -84 	 610 	 -287	 12593
170135 	 -61890 	 -61870 	 -61870 	 -61870 	 1 	 -90 	 611 	 -272	 13107
170137 	 -61888 	 -61870 	 -61870 	 -61870 	 2 	 -90 	 612 	 -274	 14906
170139 	 -61890 	 -61870 	 -61870 	 -61870 	 1 	 -90 	 611 	 -259	 14135
